Country,short_name,long_name
Afghanistan,O. Haydary,Omran Haydary
Albania,T. Strakosha,Thomas Strakosha
Albania,B. Djimsiti,Berat Djimsiti
Albania,E. Hysaj,Elseid Hysaj
Albania,K. Bare,Keidi Bare
Albania,E. Berisha,Etrit Berisha
Albania,M. Kumbulla,Marash Kumbulla
Albania,M. Uzuni,Myrto Uzuni
Albania,I. Balliu,Iván Balliu Campeny
Albania,A. Ismajli,Ardian Ismajli
Albania,T. Xhaka,Taulant Xhaka
Albania,R. Manaj,Rey Manaj
Albania,M. Mavraj,Mërgim Mavraj
Albania,A. Abrashi,Amir Abrashi
Albania,A. Broja,Armando Broja
Albania,E. Lenjani,Ermir Lenjani
Albania,F. Veseli,Frédéric Veseli
Albania,S. Çikalleshi,Sokol Çikalleshi
Albania,A. Sadiku,Armando Sadiku
Albania,K. Dermaku,Kastriot Dermaku
Albania,Q. Laçi,Qazim Laçi
Albania,A. Mucolli,Arbnor Muçolli
Albania,F. Kamberi,Florian Kamberi
Albania,K. Gjasula,Klaus Gjasula
Albania,G. Vrioni,Giacomo Vrioni
Albania,M. Mitaj,Mario Mitaj
Albania,E. Sahiti,Emir Sahiti
Albania,E. Mihaj,Enea Mihaj
Albania,R. Fili,Realdo Fili
Albania,V. Rama,Valdet Skënder Rama
Albania,E. Papa,Enriko Papa
Albania,E. Muçi,Ernest Muçi
Albania,J. Çelhaka,Jurgen Çelhaka
Albania,E. Binaku,Egzon Binaku
Albania,A. Dobra,Armando Dobra
Albania,A. Mehmeti,Anis Mehmeti
Albania,S. Rumbullaku,Simon Rrumbullaku
Albania,I. Batha,Idriz Batha
Albania,A. Mehmeti,Agon Xhevat Mehmeti
Albania,E. Çekiçi,Endri Çekiçi
Albania,A. Mucolli,Agon Muçolli
Albania,A. Bilali,Amir Bilali
Albania,M. Cuni,Marvin Cuni
Albania,L. Shabani,Laorent Shabani
Albania,L. Hetemi,Lundrim Hetemi
Albania,A. Ademi,Albion Ademi
Albania,A. Abibi,Alessio Abibi
Algeria,R. Mahrez,Riyad Mahrez
Algeria,A. Delort,Andy Delort
Algeria,A. Mandi,Aïssa Mandi
Algeria,I. Bennacer,Ismaël Bennacer
Algeria,R. Bensebaini,Ramy Bensebaini
Algeria,A. Oukidja,Alexandre Oukidja
Algeria,R. Ghezzal,Rachid Ghezzal
Algeria,F. Ghoulam,Faouzi Ghoulam
Algeria,S. Benrahma,Mohamed Saïd Benrahma
Algeria,Z. Ferhat,Zinedine Ferhat
Algeria,F. Boulaya,Farid Boulaya
Algeria,I. Slimani,Islam Slimani
Algeria,Y. Atal,Youcef Atal
Algeria,S. Feghouli,Sofiane Feghouli
Algeria,H. Belkebla,Haris Belkebla
Algeria,H. Boudaoui,Hicham Boudaoui
Algeria,R. Boudebouz,Ryad Boudebouz
Algeria,I. Belfodil,Ishak Belfodil
Algeria,A. Ounas,Adam Ounas
Algeria,A. Sâyoud,Amir Sâyoud
Algeria,M. Fares,Mohamed Salim Fares
Algeria,R. M'Bolhi,Raïs M'Bolhi Ouhab
Algeria,H. Soudani,Hillel El Arbi Soudani
Algeria,Y. Benzia,Yassine Benzia
Algeria,M. Zeghba,Moustapha Zeghba
Algeria,S. Bendebka,Sofiane Bendebka
Algeria,J. Lopez,Julien Yves Rémi López Baila
Algeria,O. Darfalou,Oussama Darfalou
Algeria,M. Zerkane,Mehdi Zerkane
Algeria,F. Chafaï,Farouk Chafaï
Algeria,A. Zorgane,Adem Zorgane
Algeria,V. Lekhal,Victor Lekhal
Algeria,A. Touba,Ahmed Touba
Algeria,M. Asselah,Malik Asselah
Algeria,F. El Melali,Farid El Melali
Algeria,M. Halaïmia,Mohamed Réda Halaïmia
Algeria,R. Zerrouki,Ramiz Larbi Zerrouki
Algeria,N. Khacef,Mohamed Naoufel Khacef
Algeria,H. Ghacha,Houssam Eddine Ghacha
Algeria,A. Kadri,Abdelkahar Kadri
Algeria,R. Bouhenna,Rachid Ahmed Bouhenna
Algeria,M. Spano Rahou,Maxime Spano Rahou
Algeria,I. Saadi,Idriss Saadi
Algeria,A. Medioub,Abdel Jalil Zaim Idriss Medioub
